date,forecast,lower_bound,upper_bound
2025-09-01,20181.21251827822,14261.466406126547,26236.021752487297
2025-09-02,28548.958112033964,22583.02643842848,34678.78724667143
2025-09-03,27972.38921129041,21995.589131422654,33743.70321878471
2025-09-04,26067.752519708876,20256.966346827154,32130.1843302225
2025-09-05,24368.818700650703,18456.592042066957,30029.200068945785
2025-09-06,14334.197804256943,8550.11567431869,20195.77499984479
2025-09-07,9400.54873276849,3816.3167599174308,15366.59393649162
2025-09-08,19950.834663323454,14160.51710310568,25979.36010530908
2025-09-09,28412.556362790976,22612.511585792592,34263.21796315876
2025-09-10,27892.259194667524,21842.4513029504,33358.57017692871
2025-09-11,26037.79728287878,20360.867664290086,32107.97000328864
2025-09-12,24387.68009619566,18355.75205508663,30540.177826501364
2025-09-13,14360.826728120684,8689.504101107885,20364.385965338657
2025-09-14,9452.038625152874,3191.0173858185976,15194.53788168714
2025-09-15,20089.10448574292,13910.212658414695,26003.663903253382
2025-09-16,28620.866615620867,22606.434938817893,34622.718650199095
2025-09-17,28123.04646418963,22497.472034783936,33781.68941886583
2025-09-18,26277.429717665134,20393.31208645187,31891.56189628559
2025-09-19,24629.74820076067,18587.14795834484,30873.673902927556
2025-09-20,14561.779343297894,8841.90258441469,20874.12160305136
2025-09-21,9628.987335930991,3788.196150433896,15621.531083940376
2025-09-22,20306.38464627402,14120.249462451851,26373.97412469979
2025-09-23,28866.34361779381,22878.418120794162,34984.29739172377
2025-09-24,28355.660736262133,22176.001032969794,34058.787866801154
2025-09-25,26491.593532377217,20980.013157171998,32333.701754405938
2025-09-26,24828.221712510993,18747.491748477296,30556.194786190637
2025-09-27,14710.850693902406,8728.954032109763,20998.17210925705
2025-09-28,9755.796503711765,3991.6195452462343,15822.502232517916
2025-09-29,20484.99660326948,14227.409891791967,25781.386285602992
2025-09-30,29093.577174992326,23268.07435187915,35158.53576501554
