ds,y,is_weekend,is_saturday,is_sunday
2022-01-02,8591,1,0,1
2022-01-03,11363,0,0,0
2022-01-04,12196,0,0,0
2022-01-05,11487,0,0,0
2022-01-06,6860,0,0,0
2022-01-07,9620,0,0,0
2022-01-08,6518,1,1,0
2022-01-09,4241,1,0,1
2022-01-10,10961,0,0,0
2022-01-11,12441,0,0,0
2022-01-12,11172,0,0,0
2022-01-13,11298,0,0,0
2022-01-14,9817,0,0,0
2022-01-15,6259,1,1,0
2022-01-16,4327,1,0,1
2022-01-17,10363,0,0,0
2022-01-18,12403,0,0,0
2022-01-19,11106,0,0,0
2022-01-20,9819,0,0,0
2022-01-21,9877,0,0,0
2022-01-22,5354,1,1,0
2022-01-23,3337,1,0,1
2022-01-24,8699,0,0,0
2022-01-25,11516,0,0,0
2022-01-26,11841,0,0,0
2022-01-27,11790,0,0,0
2022-01-28,10597,0,0,0
2022-01-29,5866,1,1,0
2022-01-30,3209,1,0,1
2022-01-31,9089,0,0,0
2022-02-01,12349,0,0,0
2022-02-02,11252,0,0,0
2022-02-03,10012,0,0,0
2022-02-04,9743,0,0,0
2022-02-05,6239,1,1,0
2022-02-06,3178,1,0,1
2022-02-07,9569,0,0,0
2022-02-08,12465,0,0,0
2022-02-09,10028,0,0,0
2022-02-10,9363,0,0,0
2022-02-11,8726,0,0,0
2022-02-12,5145,1,1,0
2022-02-13,2558,1,0,1
2022-02-14,7303,0,0,0
2022-02-15,10810,0,0,0
2022-02-16,9095,0,0,0
2022-02-17,8354,0,0,0
2022-02-18,7294,0,0,0
2022-02-19,4774,1,1,0
2022-02-20,2561,1,0,1
2022-02-21,6501,0,0,0
2022-02-22,11079,0,0,0
2022-02-23,10871,0,0,0
2022-02-24,9237,0,0,0
2022-02-25,9095,0,0,0
2022-02-26,5087,1,1,0
2022-02-27,4154,1,0,1
2022-02-28,8540,0,0,0
2022-03-01,11962,0,0,0
2022-03-02,10320,0,0,0
2022-03-03,9295,0,0,0
2022-03-04,9136,0,0,0
2022-03-05,5415,1,1,0
2022-03-06,2636,1,0,1
2022-03-07,8415,0,0,0
2022-03-08,12018,0,0,0
2022-03-09,11999,0,0,0
2022-03-10,9616,0,0,0
2022-03-11,8513,0,0,0
2022-03-12,5384,1,1,0
2022-03-13,2598,1,0,1
2022-03-14,8309,0,0,0
2022-03-15,10772,0,0,0
2022-03-16,10416,0,0,0
2022-03-17,9622,0,0,0
