ds,y,is_weekend,is_saturday,is_sunday
2022-01-02,2348.0,1,0,1
2022-01-03,2587.0,0,0,0
2022-01-04,2959.0,0,0,0
2022-01-05,2972.0,0,0,0
2022-01-06,1959.0,0,0,0
2022-01-07,2212.0,0,0,0
2022-01-08,1804.0,1,1,0
2022-01-09,1122.0,1,0,1
2022-01-10,2527.0,0,0,0
2022-01-11,3135.0,0,0,0
2022-01-12,2835.0,0,0,0
2022-01-13,2685.0,0,0,0
2022-01-14,2546.0,0,0,0
2022-01-15,1669.0,1,1,0
2022-01-16,1263.0,1,0,1
2022-01-17,2353.0,0,0,0
2022-01-18,3112.0,0,0,0
2022-01-19,2871.0,0,0,0
2022-01-20,2669.0,0,0,0
2022-01-21,2608.0,0,0,0
2022-01-22,1611.0,1,1,0
2022-01-23,1070.0,1,0,1
2022-01-24,2201.0,0,0,0
2022-01-25,3148.0,0,0,0
2022-01-26,3181.0,0,0,0
2022-01-27,3121.0,0,0,0
2022-01-28,2925.0,0,0,0
2022-01-29,1676.0,1,1,0
2022-01-30,943.0,1,0,1
2022-01-31,2165.0,0,0,0
2022-02-01,3170.0,0,0,0
2022-02-02,2878.0,0,0,0
2022-02-03,2620.0,0,0,0
2022-02-04,2646.0,0,0,0
2022-02-05,1732.0,1,1,0
2022-02-06,966.0,1,0,1
2022-02-07,2431.0,0,0,0
2022-02-08,3081.0,0,0,0
2022-02-09,2692.0,0,0,0
2022-02-10,2361.0,0,0,0
2022-02-11,2293.0,0,0,0
2022-02-12,1243.0,1,1,0
2022-02-13,683.0,1,0,1
2022-02-14,1870.0,0,0,0
2022-02-15,2965.0,0,0,0
2022-02-16,2456.0,0,0,0
2022-02-17,2336.0,0,0,0
2022-02-18,2003.0,0,0,0
2022-02-19,1273.0,1,1,0
2022-02-20,702.0,1,0,1
2022-02-21,1570.0,0,0,0
2022-02-22,2752.0,0,0,0
2022-02-23,2767.0,0,0,0
2022-02-24,2473.0,0,0,0
2022-02-25,2499.0,0,0,0
2022-02-26,1462.0,1,1,0
2022-02-27,1268.0,1,0,1
2022-02-28,2336.0,0,0,0
2022-03-01,3168.0,0,0,0
2022-03-02,3117.0,0,0,0
2022-03-03,2602.0,0,0,0
2022-03-04,2781.0,0,0,0
2022-03-05,1586.0,1,1,0
2022-03-06,736.0,1,0,1
2022-03-07,2169.0,0,0,0
2022-03-08,3367.0,0,0,0
2022-03-09,3518.0,0,0,0
2022-03-10,2644.0,0,0,0
